city,latitude,longitude,start_date,end_date
ALE,82.492,-62.508,2012-01-01,2013-12-13
ABZ,50.57,12.99,2012-01-26,2016-12-31
ASP,58.8,17.38,2005-01-01,2013-12-31
BOT,-25.5,25.8,2006-07-20,2008-02-05
BSL,53.0,7.95,2010-01-01,2014-12-31
EGB,44.2,-79.8,2007-05-03,2008-05-15
HEL,60.2,24.96,2005-01-01,2019-11-24
HPB,47.8,11.0,2010-01-01,2015-12-31
HYY,61.85,24.29,2003-01-02,2019-12-31
KCE,49.56,15.08,2009-01-01,2015-12-31
KPZ,46.97,19.55,2008-05-08,2014-12-31
MHD,53.32,-9.88,2005-01-01,2008-06-10
MAR,-25.7,27.5,2008-02-10,2010-05-13
MLP,51.53,12.9,2008-01-01,2014-12-10
NAN,32.2,118.9,2011-12-01,2013-11-30
NEU,53.14,13.03,2011-04-18,2016-12-31
SAO,-23.6,-46.6,2010-10-06,2011-09-07
SCH,47.91,7.91,2006-01-01,2016-12-31
SGP,36.6,-97.5,2011-01-01,2014-11-01
VIE,50.3,6.0,2012-01-01,2015-12-31
VAR,67.76,29.61,2003-01-02,2019-12-31
WAL,52.8,10.76,2009-01-01,2014-06-30
AMA,-2.146,-59.006,2015-01-01,2016-12-31
AMM,32.01,35.87,2016-08-01,2017-07-31
BEI,39.94,116.30,2018-06-01,2019-12-31
DEL,28.55,77.19,2017-01-01,2018-03-31
HAD,21.802,39.729,2013-02-01,2015-02-28
MUK,29.47,79.65,2005-12-01,2008-12-31
POV,44.65,11.62,2002-01-01,2006-12-31
UAE,25.23,55.98,2018-02-01,2019-02-28
ZOT,60.8,89.35,2006-10-01,2009-11-30
FKL,35.20,25.40,2008-06-01,2009-04-30
HRW,51.60,-1.30,2006-01-01,2006-12-31
VHL,56.04,13.52,2008-01-01,2008-12-31
PRL,55.55,22.00,2009-04-01,2014-02-28